year,age,sex,lfp,n,cohort,lfp_age_avg
2000,34,1,94.054344,9719,1966,94.913383
2001,34,1,94.281082,10548,1967,94.913383
2002,34,1,93.782379,10969,1968,94.913383
2003,34,1,93.254623,11024,1969,94.913383
2004,34,1,93.199562,11307,1970,94.913383
2005,34,1,93.178101,11153,1971,94.913383
2006,34,1,93.342224,9823,1972,94.913383
2007,34,1,93.641014,9196,1973,94.913383
2008,34,1,92.932259,9011,1974,94.913383
2009,34,1,91.781578,9794,1975,94.913383
2010,34,1,92.700447,9248,1976,94.913383
2011,34,1,91.801003,9605,1977,94.913383
2012,34,1,89.441071,9645,1978,94.913383
2013,34,1,90.420639,9481,1979,94.913383
2014,34,1,90.519112,9923,1980,94.913383
2015,34,1,90.214745,9966,1981,94.913383
2016,34,1,91.097321,9793,1982,94.913383
1976,34,2,55.719315,9837,1942,69.961906
1977,34,2,58.258949,11896,1943,69.961906
1978,34,2,59.31348,11830,1944,69.961906
1979,34,2,61.994576,11722,1945,69.961906
1980,34,2,64.098228,14236,1946,69.961906
1981,34,2,66.499619,16356,1947,69.961906
1982,34,2,67.547745,15644,1948,69.961906
1983,34,2,68.879578,14576,1949,69.961906
1984,34,2,69.176491,14516,1950,69.961906
1985,34,2,70.755341,15318,1951,69.961906
1986,34,2,72.259331,15014,1952,69.961906
1987,34,2,72.299858,15513,1953,69.961906
1988,34,2,71.034767,14627,1954,69.961906
1989,34,2,73.552032,15000,1955,69.961906
1990,34,2,73.627243,15540,1956,69.961906
1991,34,2,73.658409,15791,1957,69.961906
1992,34,2,75.131577,14704,1958,69.961906
1993,34,2,75.084366,14874,1959,69.961906
1994,34,2,73.450676,15170,1960,69.961906
1995,34,2,74.731323,14568,1961,69.961906
1996,34,2,74.763245,12783,1962,69.961906
1997,34,2,76.071724,12308,1963,69.961906
1998,34,2,76.226273,12030,1964,69.961906
1999,34,2,74.951675,11484,1965,69.961906
2000,34,2,75.483345,10961,1966,69.961906
2001,34,2,75.31646,11650,1967,69.961906
2002,34,2,74.285698,11862,1968,69.961906
2003,34,2,73.089661,11745,1969,69.961906
2004,34,2,73.874336,12241,1970,69.961906
2005,34,2,74.477043,11906,1971,69.961906
2006,34,2,73.342117,10872,1972,69.961906
2007,34,2,73.600929,10249,1973,69.961906
2008,34,2,73.39888,9592,1974,69.961906
2009,34,2,75.411072,10455,1975,69.961906
2010,34,2,73.046585,10259,1976,69.961906
2011,34,2,73.328766,10413,1977,69.961906
2012,34,2,74.533035,10675,1978,69.961906
2013,34,2,73.518005,10399,1979,69.961906
2014,34,2,72.68084,10956,1980,69.961906
2015,34,2,73.114281,10558,1981,69.961906
2016,34,2,73.979774,10645,1982,69.961906
1976,35,1,95.722839,8531,1941,94.790215
1977,35,1,96.699005,10315,1942,94.790215
1978,35,1,96.797333,11629,1943,94.790215
1979,35,1,96.13678,11074,1944,94.790215
1980,35,1,96.224884,12442,1945,94.790215
1981,35,1,95.885788,12172,1946,94.790215
1982,35,1,95.626556,14907,1947,94.790215
1983,35,1,95.325401,13921,1948,94.790215
1984,35,1,95.199425,13961,1949,94.790215
1985,35,1,95.145508,13639,1950,94.790215
1986,35,1,95.099586,13541,1951,94.790215
1987,35,1,94.711876,13519,1952,94.790215
1988,35,1,94.435379,13537,1953,94.790215
1989,35,1,94.50415,13691,1954,94.790215
1990,35,1,94.926262,14597,1955,94.790215
1991,35,1,94.073845,14359,1956,94.790215
1992,35,1,93.785149,14427,1957,94.790215
1993,35,1,94.043411,14104,1958,94.790215
1994,35,1,93.399223,13391,1959,94.790215
1995,35,1,92.414597,13432,1960,94.790215
1996,35,1,93.140327,11861,1961,94.790215
1997,35,1,93.316315,11382,1962,94.790215
1998,35,1,94.266144,11291,1963,94.790215
1999,35,1,94.085403,11103,1964,94.790215
2000,35,1,93.301567,10949,1965,94.790215
2001,35,1,93.193703,11215,1966,94.790215
2002,35,1,93.408844,11684,1967,94.790215
2003,35,1,93.033615,11314,1968,94.790215
2004,35,1,92.066399,11224,1969,94.790215
2005,35,1,92.431534,11445,1970,94.790215
2006,35,1,93.649109,11478,1971,94.790215
2007,35,1,92.728333,10232,1972,94.790215
2008,35,1,92.677299,9778,1973,94.790215
2009,35,1,92.497078,9428,1974,94.790215
2010,35,1,91.38546,9780,1975,94.790215
2011,35,1,91.603157,9206,1976,94.790215
2012,35,1,90.843071,9566,1977,94.790215
2013,35,1,90.657349,9416,1978,94.790215
2014,35,1,90.376511,9762,1979,94.790215
2015,35,1,88.938171,10013,1980,94.790215
2016,35,1,91.263794,10210,1981,94.790215
1976,35,2,55.742519,9412,1941,70.191208
1977,35,2,58.505951,10782,1942,70.191208
1978,35,2,60.637409,12667,1943,70.191208
1979,35,2,62.183655,11833,1944,70.191208
1980,35,2,64.19548,13501,1945,70.191208
1981,35,2,66.302856,13343,1946,70.191208
1982,35,2,67.170219,15688,1947,70.191208
1983,35,2,67.865349,15334,1948,70.191208
1984,35,2,71.169502,14503,1949,70.191208
1985,35,2,71.382729,15124,1950,70.191208
1986,35,2,72.481056,15032,1951,70.191208
1987,35,2,73.187805,15194,1952,70.191208
1988,35,2,72.685791,14815,1953,70.191208
1989,35,2,72.76622,15012,1954,70.191208
1990,35,2,73.652344,16132,1955,70.191208
1991,35,2,74.471375,15716,1956,70.191208
1992,35,2,73.851227,15844,1957,70.191208
1993,35,2,74.091621,15153,1958,70.191208
1994,35,2,75.369095,14556,1959,70.191208
1995,35,2,74.700539,15032,1960,70.191208
1996,35,2,76.15403,12616,1961,70.191208
1997,35,2,75.655861,12433,1962,70.191208
1998,35,2,74.504921,12260,1963,70.191208
1999,35,2,75.861443,12273,1964,70.191208
2000,35,2,75.565018,11517,1965,70.191208
2001,35,2,75.019852,12179,1966,70.191208
2002,35,2,74.485519,12389,1967,70.191208
2003,35,2,73.564949,12008,1968,70.191208
2004,35,2,73.929382,11884,1969,70.191208
2005,35,2,73.709473,12503,1970,70.191208
2006,35,2,74.119469,11982,1971,70.191208
2007,35,2,71.156593,11074,1972,70.191208
2008,35,2,75.247353,10400,1973,70.191208
2009,35,2,73.1343,10060,1974,70.191208
2010,35,2,73.330254,10579,1975,70.191208
2011,35,2,73.451561,10124,1976,70.191208
2012,35,2,73.697258,10311,1977,70.191208
2013,35,2,73.808601,10511,1978,70.191208
2014,35,2,73.044273,10795,1979,70.191208
2015,35,2,72.31411,11065,1980,70.191208
2016,35,2,73.628563,10684,1981,70.191208
1976,36,1,95.981049,7795,1940,94.742004
1977,36,1,95.859825,9208,1941,94.742004
1978,36,1,96.535774,10264,1942,94.742004
1979,36,1,96.376129,11535,1943,94.742004
1980,36,1,96.137993,12630,1944,94.742004
1981,36,1,95.068268,11640,1945,94.742004
1982,36,1,95.631569,11527,1946,94.742004
1983,36,1,95.945129,14309,1947,94.742004
1984,36,1,95.155708,13286,1948,94.742004
1985,36,1,95.335533,13488,1949,94.742004
1986,36,1,95.058067,12967,1950,94.742004
1987,36,1,94.903687,13287,1951,94.742004
1988,36,1,94.657692,12536,1952,94.742004
1989,36,1,94.633957,13231,1953,94.742004
1990,36,1,94.924294,14033,1954,94.742004
1991,36,1,94.640556,14178,1955,94.742004
1992,36,1,94.21579,13697,1956,94.742004
1993,36,1,93.66246,13705,1957,94.742004
1994,36,1,93.518799,13275,1958,94.742004
1995,36,1,92.345604,12836,1959,94.742004
1996,36,1,92.98735,11795,1960,94.742004
1997,36,1,93.297676,11718,1961,94.742004
1998,36,1,93.140091,11067,1962,94.742004
1999,36,1,93.795204,10826,1963,94.742004
2000,36,1,93.461349,10871,1964,94.742004
2001,36,1,92.144157,11925,1965,94.742004
2002,36,1,92.275558,11691,1966,94.742004
2003,36,1,93.584671,11045,1967,94.742004
2004,36,1,93.241631,10303,1968,94.742004
2005,36,1,93.109932,10707,1969,94.742004
2006,36,1,93.360321,11009,1970,94.742004
2007,36,1,93.03138,10969,1971,94.742004
2008,36,1,93.516838,10353,1972,94.742004
2009,36,1,91.957443,9746,1973,94.742004
2010,36,1,92.228661,9257,1974,94.742004
2011,36,1,91.620598,9447,1975,94.742004
2012,36,1,92.163277,9002,1976,94.742004
2013,36,1,90.680222,9442,1977,94.742004
2014,36,1,90.531502,9110,1978,94.742004
2015,36,1,91.10453,9447,1979,94.742004
2016,36,1,90.220818,10000,1980,94.742004
1976,36,2,56.711792,9500,1940,70.822136
1977,36,2,60.575615,10329,1941,70.822136
1978,36,2,61.591316,11276,1942,70.822136
1979,36,2,63.429535,12736,1943,70.822136
1980,36,2,64.276909,14001,1944,70.822136
1981,36,2,67.088867,12625,1945,70.822136
1982,36,2,67.584213,12154,1946,70.822136
1983,36,2,67.608467,15029,1947,70.822136
1984,36,2,68.945961,15010,1948,70.822136
1985,36,2,72.794678,14327,1949,70.822136
1986,36,2,73.527832,14253,1950,70.822136
1987,36,2,73.01889,14509,1951,70.822136
1988,36,2,73.944969,13993,1952,70.822136
1989,36,2,75.232208,14715,1953,70.822136
1990,36,2,74.114372,15195,1954,70.822136
1991,36,2,74.918945,15452,1955,70.822136
1992,36,2,75.17482,15235,1956,70.822136
1993,36,2,74.634506,15194,1957,70.822136
1994,36,2,75.129921,14454,1958,70.822136
1995,36,2,75.958656,14124,1959,70.822136
1996,36,2,76.309067,13162,1960,70.822136
1997,36,2,75.748779,12476,1961,70.822136
1998,36,2,76.666191,12040,1962,70.822136
1999,36,2,74.744835,12181,1963,70.822136
2000,36,2,75.861084,11872,1964,70.822136
2001,36,2,76.315781,12613,1965,70.822136
2002,36,2,73.847565,12732,1966,70.822136
2003,36,2,73.425438,12066,1967,70.822136
2004,36,2,75.044777,11380,1968,70.822136
2005,36,2,74.484123,11839,1969,70.822136
2006,36,2,75.076836,11983,1970,70.822136
2007,36,2,75.445602,11506,1971,70.822136
2008,36,2,73.561142,10671,1972,70.822136
2009,36,2,74.138786,10592,1973,70.822136
2010,36,2,73.893333,10324,1974,70.822136
2011,36,2,73.672089,10126,1975,70.822136
2012,36,2,72.758713,10113,1976,70.822136
2013,36,2,73.817535,10193,1977,70.822136
2014,36,2,74.32048,10314,1978,70.822136
2015,36,2,73.167625,10410,1979,70.822136
2016,36,2,73.514099,11078,1980,70.822136
1976,37,1,95.618347,8041,1939,94.710106
1977,37,1,96.143631,8799,1940,94.710106
1978,37,1,95.885284,9342,1941,94.710106
1979,37,1,95.997833,10140,1942,94.710106
1980,37,1,95.808495,13486,1943,94.710106
1981,37,1,96.418686,11634,1944,94.710106
1982,37,1,95.784409,11255,1945,94.710106
1983,37,1,95.511612,11054,1946,94.710106
1984,37,1,96.159081,13764,1947,94.710106
1985,37,1,95.419312,13656,1948,94.710106
1986,37,1,94.963661,12696,1949,94.710106
1987,37,1,95.142418,13090,1950,94.710106
1988,37,1,94.890007,12787,1951,94.710106
1989,37,1,94.843361,12736,1952,94.710106
1990,37,1,94.737961,13687,1953,94.710106
1991,37,1,94.56871,13422,1954,94.710106
1992,37,1,94.228127,13625,1955,94.710106
1993,37,1,93.589561,13441,1956,94.710106
1994,37,1,92.497025,13612,1957,94.710106
1995,37,1,92.775925,12808,1958,94.710106
1996,37,1,92.723778,11387,1959,94.710106
1997,37,1,92.886238,11934,1960,94.710106
1998,37,1,93.632027,11270,1961,94.710106
1999,37,1,92.81691,11150,1962,94.710106
2000,37,1,92.817017,10918,1963,94.710106
2001,37,1,93.053261,11833,1964,94.710106
2002,37,1,92.70668,12067,1965,94.710106
2003,37,1,92.2146,11030,1966,94.710106
2004,37,1,92.934921,10386,1967,94.710106
2005,37,1,92.707024,10133,1968,94.710106
2006,37,1,92.368004,10358,1969,94.710106
2007,37,1,93.262878,10735,1970,94.710106
2008,37,1,92.51722,10646,1971,94.710106
2009,37,1,92.68013,10120,1972,94.710106
2010,37,1,92.337341,9310,1973,94.710106
2011,37,1,91.656342,9346,1974,94.710106
2012,37,1,91.117218,9263,1975,94.710106
2013,37,1,90.795876,9125,1976,94.710106
2014,37,1,90.587143,9285,1977,94.710106
2015,37,1,91.114876,9285,1978,94.710106
2016,37,1,90.784447,9258,1979,94.710106
1976,37,2,58.183434,8956,1939,71.097305
1977,37,2,58.363956,9788,1940,71.097305
1978,37,2,61.204845,10467,1941,71.097305
1979,37,2,64.221123,10702,1942,71.097305
1980,37,2,63.561543,14211,1943,71.097305
1981,37,2,67.320076,12866,1944,71.097305
1982,37,2,67.424149,11954,1945,71.097305
1983,37,2,69.28801,12020,1946,71.097305
1984,37,2,70.097893,14832,1947,71.097305
1985,37,2,70.333191,14565,1948,71.097305
1986,37,2,72.846069,13967,1949,71.097305
1987,37,2,74.013069,14043,1950,71.097305
1988,37,2,74.473755,13500,1951,71.097305
1989,37,2,74.777534,13720,1952,71.097305
1990,37,2,75.929192,14983,1953,71.097305
1991,37,2,74.527069,14932,1954,71.097305
1992,37,2,74.952141,15096,1955,71.097305
1993,37,2,76.031021,14849,1956,71.097305
1994,37,2,76.335175,14395,1957,71.097305
1995,37,2,76.894569,14343,1958,71.097305
1996,37,2,76.488976,12591,1959,71.097305
1997,37,2,77.280884,12796,1960,71.097305
1998,37,2,75.769875,12144,1961,71.097305
1999,37,2,76.017746,11818,1962,71.097305
2000,37,2,74.991295,12028,1963,71.097305
2001,37,2,76.616951,13075,1964,71.097305
2002,37,2,75.683716,13471,1965,71.097305
2003,37,2,73.450661,12443,1966,71.097305
2004,37,2,74.739304,11840,1967,71.097305
2005,37,2,75.141731,11564,1968,71.097305
2006,37,2,73.863869,11650,1969,71.097305
2007,37,2,74.417267,11871,1970,71.097305
2008,37,2,74.389938,11304,1971,71.097305
2009,37,2,74.500153,10936,1972,71.097305
2010,37,2,74.673317,10607,1973,71.097305
2011,37,2,73.087456,9852,1974,71.097305
2012,37,2,73.190086,9719,1975,71.097305
2013,37,2,74.636826,10020,1976,71.097305
2014,37,2,72.845871,10026,1977,71.097305
2015,37,2,73.055092,9864,1978,71.097305
2016,37,2,75.104744,10379,1979,71.097305
1976,38,1,96.066704,8287,1938,94.651436
1977,38,1,95.97496,8732,1939,94.651436
1978,38,1,96.052559,9521,1940,94.651436
1979,38,1,96.22821,9417,1941,94.651436
1980,38,1,95.322327,12004,1942,94.651436
1981,38,1,96.267754,12362,1943,94.651436
1982,38,1,96.311607,10972,1944,94.651436
1983,38,1,95.75853,10950,1945,94.651436
1984,38,1,95.612045,10781,1946,94.651436
1985,38,1,95.512192,14043,1947,94.651436
1986,38,1,95.043991,13591,1948,94.651436
1987,38,1,95.244568,12953,1949,94.651436
1988,38,1,94.836212,12555,1950,94.651436
1989,38,1,94.695892,12776,1951,94.651436
1990,38,1,95.011726,13695,1952,94.651436
1991,38,1,94.10981,13329,1953,94.651436
1992,38,1,94.367561,13573,1954,94.651436
1993,38,1,93.806038,13393,1955,94.651436
1994,38,1,91.791191,13092,1956,94.651436
1995,38,1,92.595245,13311,1957,94.651436
1996,38,1,92.361923,11491,1958,94.651436
1997,38,1,92.865822,11527,1959,94.651436
1998,38,1,92.414703,11531,1960,94.651436
1999,38,1,93.383041,11718,1961,94.651436
2000,38,1,93.414818,11157,1962,94.651436
2001,38,1,93.117561,12011,1963,94.651436
2002,38,1,92.830353,12591,1964,94.651436
2003,38,1,93.2201,11998,1965,94.651436
2004,38,1,92.37719,10660,1966,94.651436
2005,38,1,92.669052,10677,1967,94.651436
2006,38,1,92.563103,10530,1968,94.651436
2007,38,1,92.724548,10151,1969,94.651436
2008,38,1,93.091705,10628,1970,94.651436
2009,38,1,92.702362,10804,1971,94.651436
2010,38,1,92.590897,10142,1972,94.651436
2011,38,1,91.935036,9394,1973,94.651436
2012,38,1,91.327057,9135,1974,94.651436
2013,38,1,90.442619,9221,1975,94.651436
2014,38,1,90.396652,9229,1976,94.651436
2015,38,1,90.189949,9038,1977,94.651436
2016,38,1,89.621941,9242,1978,94.651436
1976,38,2,58.17421,9072,1938,71.648346
1977,38,2,60.882931,9799,1939,71.648346
1978,38,2,61.319237,10097,1940,71.648346
1979,38,2,63.502415,10442,1941,71.648346
1980,38,2,65.643105,12723,1942,71.648346
1981,38,2,65.4561,12741,1943,71.648346
1982,38,2,68.136429,11872,1944,71.648346
1983,38,2,68.824364,11784,1945,71.648346
1984,38,2,71.150986,11484,1946,71.648346
1985,38,2,72.435814,15039,1947,71.648346
1986,38,2,72.790321,14318,1948,71.648346
1987,38,2,73.853683,13469,1949,71.648346
1988,38,2,76.208458,13173,1950,71.648346
1989,38,2,76.049828,13354,1951,71.648346
1990,38,2,76.119026,14354,1952,71.648346
1991,38,2,76.659218,14627,1953,71.648346
1992,38,2,76.581398,14362,1954,71.648346
1993,38,2,74.82254,14798,1955,71.648346
1994,38,2,77.13488,14288,1956,71.648346
1995,38,2,77.736847,14075,1957,71.648346
1996,38,2,76.848312,12751,1958,71.648346
1997,38,2,77.195396,13044,1959,71.648346
1998,38,2,75.556496,12355,1960,71.648346
1999,38,2,76.478348,12360,1961,71.648346
2000,38,2,76.414436,11758,1962,71.648346
2001,38,2,76.266953,13185,1963,71.648346
2002,38,2,76.651581,13913,1964,71.648346
2003,38,2,75.618042,13468,1965,71.648346
2004,38,2,74.565399,12073,1966,71.648346
2005,38,2,75.072655,11948,1967,71.648346
2006,38,2,75.053047,11656,1968,71.648346
2007,38,2,75.822334,11802,1969,71.648346
2008,38,2,75.835022,11743,1970,71.648346
2009,38,2,76.270767,11282,1971,71.648346
2010,38,2,73.971764,10774,1972,71.648346
2011,38,2,74.71154,10189,1973,71.648346
2012,38,2,74.453484,9840,1974,71.648346
2013,38,2,73.265503,9738,1975,71.648346
2014,38,2,73.733856,9887,1976,71.648346
2015,38,2,74.395584,10047,1977,71.648346
2016,38,2,74.673935,9761,1978,71.648346
1976,39,1,95.71962,7833,1937,94.569214
1977,39,1,96.037308,8499,1938,94.569214
1978,39,1,95.911285,9275,1939,94.569214
1979,39,1,96.466705,9189,1940,94.569214
1980,39,1,95.870987,11112,1941,94.569214
1981,39,1,95.528297,11140,1942,94.569214
1982,39,1,95.68985,11164,1943,94.569214
1983,39,1,95.597488,11055,1944,94.569214
1984,39,1,95.501015,10519,1945,94.569214
1985,39,1,94.968781,10848,1946,94.569214
1986,39,1,95.231834,13713,1947,94.569214
1987,39,1,94.350258,13178,1948,94.569214
1988,39,1,94.97271,11941,1949,94.569214
1989,39,1,94.714241,12423,1950,94.569214
1990,39,1,94.633034,13388,1951,94.569214
1991,39,1,94.278305,13522,1952,94.569214
1992,39,1,93.835205,13406,1953,94.569214
1993,39,1,93.58065,13118,1954,94.569214
1994,39,1,93.093834,12817,1955,94.569214
1995,39,1,92.375656,12731,1956,94.569214
1996,39,1,92.725548,11539,1957,94.569214
1997,39,1,93.359467,11473,1958,94.569214
1998,39,1,92.944786,11354,1959,94.569214
1999,39,1,92.274353,11301,1960,94.569214
2000,39,1,93.646103,11631,1961,94.569214
2001,39,1,93.313126,12104,1962,94.569214
2002,39,1,92.835785,12748,1963,94.569214
2003,39,1,91.974731,12440,1964,94.569214
2004,39,1,92.832359,11598,1965,94.569214
2005,39,1,91.9217,11108,1966,94.569214
2006,39,1,92.617752,10330,1967,94.569214
2007,39,1,92.705696,10247,1968,94.569214
2008,39,1,92.268356,10262,1969,94.569214
2009,39,1,91.661957,10821,1970,94.569214
2010,39,1,91.976135,10819,1971,94.569214
2011,39,1,90.8731,10004,1972,94.569214
2012,39,1,91.03286,9174,1973,94.569214
2013,39,1,90.968796,8719,1974,94.569214
2014,39,1,90.816238,9122,1975,94.569214
2015,39,1,91.124214,8903,1976,94.569214
2016,39,1,91.150063,8761,1977,94.569214
1976,39,2,57.84079,8408,1937,72.282433
1977,39,2,60.153408,9631,1938,72.282433
1978,39,2,61.616158,9963,1939,72.282433
1979,39,2,65.187988,9843,1940,72.282433
1980,39,2,67.757263,12152,1941,72.282433
1981,39,2,67.205864,11966,1942,72.282433
1982,39,2,68.347023,12015,1943,72.282433
1983,39,2,68.734917,11558,1944,72.282433
1984,39,2,70.920273,11555,1945,72.282433
1985,39,2,71.681183,11530,1946,72.282433
1986,39,2,74.09697,14427,1947,72.282433
1987,39,2,75.882233,14178,1948,72.282433
1988,39,2,76.033493,13030,1949,72.282433
1989,39,2,76.620255,13511,1950,72.282433
1990,39,2,77.174171,14074,1951,72.282433
1991,39,2,77.856659,14099,1952,72.282433
1992,39,2,77.90197,14355,1953,72.282433
1993,39,2,77.149902,13946,1954,72.282433
1994,39,2,76.147255,14106,1955,72.282433
1995,39,2,76.887581,14195,1956,72.282433
1996,39,2,77.591431,12344,1957,72.282433
1997,39,2,77.527908,12572,1958,72.282433
1998,39,2,76.680962,12756,1959,72.282433
1999,39,2,77.782661,12497,1960,72.282433
2000,39,2,76.18412,12421,1961,72.282433
2001,39,2,77.152504,13304,1962,72.282433
2002,39,2,75.714859,13819,1963,72.282433
2003,39,2,75.651825,13562,1964,72.282433
2004,39,2,75.968956,12331,1965,72.282433
2005,39,2,75.461128,12091,1966,72.282433
2006,39,2,76.212105,11537,1967,72.282433
2007,39,2,74.503098,11397,1968,72.282433
2008,39,2,77.077927,11405,1969,72.282433
2009,39,2,76.619423,11608,1970,72.282433
2010,39,2,76.36338,11335,1971,72.282433
2011,39,2,73.815002,10405,1972,72.282433
2012,39,2,75.531723,9823,1973,72.282433
2013,39,2,74.612007,9716,1974,72.282433
2014,39,2,73.855988,9893,1975,72.282433
2015,39,2,75.150436,9891,1976,72.282433
2016,39,2,74.874855,9955,1977,72.282433
1976,40,1,95.374741,8162,1936,94.159821
1977,40,1,95.734589,8603,1937,94.159821
1978,40,1,95.948303,9126,1938,94.159821
1979,40,1,95.172707,9497,1939,94.159821
1980,40,1,95.686203,11138,1940,94.159821
1981,40,1,94.869095,10838,1941,94.159821
1982,40,1,95.404114,10570,1942,94.159821
1983,40,1,95.398071,11592,1943,94.159821
1984,40,1,95.266945,11293,1944,94.159821
1985,40,1,94.88765,10942,1945,94.159821
1986,40,1,94.590652,11117,1946,94.159821
1987,40,1,94.568619,13806,1947,94.159821
1988,40,1,94.588341,12723,1948,94.159821
1989,40,1,93.938988,12640,1949,94.159821
1990,40,1,93.834259,13042,1950,94.159821
1991,40,1,93.884399,13612,1951,94.159821
1992,40,1,93.499207,13479,1952,94.159821
1993,40,1,93.570999,13607,1953,94.159821
1994,40,1,92.603088,12634,1954,94.159821
1995,40,1,91.36441,13029,1955,94.159821
1996,40,1,91.956062,11673,1956,94.159821
1997,40,1,92.112007,12032,1957,94.159821
1998,40,1,92.808647,11705,1958,94.159821
1999,40,1,92.77356,11889,1959,94.159821
2000,40,1,91.794769,11881,1960,94.159821
2001,40,1,92.361259,13229,1961,94.159821
2002,40,1,91.91024,13374,1962,94.159821
2003,40,1,91.660675,13260,1963,94.159821
2004,40,1,91.255089,13064,1964,94.159821
2005,40,1,92.446152,12390,1965,94.159821
2006,40,1,91.087433,11761,1966,94.159821
2007,40,1,92.69368,10939,1967,94.159821
2008,40,1,92.826706,10477,1968,94.159821
2009,40,1,91.036942,10956,1969,94.159821
2010,40,1,91.258911,11221,1970,94.159821
2011,40,1,90.195183,11149,1971,94.159821
2012,40,1,91.685562,10124,1972,94.159821
2013,40,1,90.864578,9205,1973,94.159821
2014,40,1,91.252541,8974,1974,94.159821
2015,40,1,90.672836,9425,1975,94.159821
2016,40,1,90.667496,9150,1976,94.159821
1976,40,2,59.109486,8426,1936,72.685196
1977,40,2,59.975761,9509,1937,72.685196
1978,40,2,64.156349,10134,1938,72.685196
1979,40,2,64.069099,10280,1939,72.685196
1980,40,2,66.961166,11674,1940,72.685196
1981,40,2,68.310211,11661,1941,72.685196
1982,40,2,70.042892,11677,1942,72.685196
1983,40,2,69.814957,12680,1943,72.685196
1984,40,2,70.331451,12025,1944,72.685196
1985,40,2,72.073776,11680,1945,72.685196
1986,40,2,73.214096,12051,1946,72.685196
1987,40,2,76.373749,14827,1947,72.685196
1988,40,2,76.633713,13496,1948,72.685196
1989,40,2,78.17981,13594,1949,72.685196
1990,40,2,77.360016,14424,1950,72.685196
1991,40,2,76.641678,14620,1951,72.685196
1992,40,2,77.998367,14305,1952,72.685196
1993,40,2,77.631714,14283,1953,72.685196
1994,40,2,78.200546,14311,1954,72.685196
1995,40,2,76.759109,14343,1955,72.685196
1996,40,2,78.041985,12770,1956,72.685196
1997,40,2,77.658752,12805,1957,72.685196
1998,40,2,77.277122,12724,1958,72.685196
1999,40,2,77.628944,12760,1959,72.685196
2000,40,2,78.130165,12999,1960,72.685196
2001,40,2,77.146263,14114,1961,72.685196
2002,40,2,76.274437,14903,1962,72.685196
2003,40,2,75.566856,14233,1963,72.685196
2004,40,2,76.909866,13749,1964,72.685196
2005,40,2,76.779671,13036,1965,72.685196
2006,40,2,74.89814,12651,1966,72.685196
2007,40,2,75.808022,11533,1967,72.685196
2008,40,2,76.473175,11296,1968,72.685196
2009,40,2,75.63707,11999,1969,72.685196
2010,40,2,76.493576,12002,1970,72.685196
2011,40,2,75.131523,11734,1971,72.685196
2012,40,2,74.652527,10634,1972,72.685196
2013,40,2,73.574417,10258,1973,72.685196
2014,40,2,74.682289,10236,1974,72.685196
2015,40,2,74.617134,9990,1975,72.685196
2016,40,2,75.74369,9840,1976,72.685196
1976,41,1,95.245514,7533,1935,94.279236
1977,41,1,95.61161,8563,1936,94.279236
1978,41,1,95.497253,8547,1937,94.279236
1979,41,1,96.628319,8947,1938,94.279236
1980,41,1,95.247528,10490,1939,94.279236
1981,41,1,95.074051,9993,1940,94.279236
1982,41,1,94.812149,9852,1941,94.279236
1983,41,1,95.317986,10357,1942,94.279236
1984,41,1,95.810158,11098,1943,94.279236
1985,41,1,95.106133,10727,1944,94.279236
1986,41,1,94.567909,10004,1945,94.279236
1987,41,1,94.799896,10818,1946,94.279236
1988,41,1,94.628212,12788,1947,94.279236
1989,41,1,94.321091,12543,1948,94.279236
1990,41,1,94.226891,12693,1949,94.279236
1991,41,1,93.952637,12561,1950,94.279236
1992,41,1,93.657463,12084,1951,94.279236
1993,41,1,93.347672,12706,1952,94.279236
1994,41,1,92.90638,12478,1953,94.279236
1995,41,1,92.610359,12125,1954,94.279236
1996,41,1,92.200264,11050,1955,94.279236
1997,41,1,92.611778,11762,1956,94.279236
1998,41,1,92.358688,11447,1957,94.279236
1999,41,1,92.161682,11336,1958,94.279236
2000,41,1,92.939392,11389,1959,94.279236
2001,41,1,92.190315,12770,1960,94.279236
2002,41,1,91.774803,13230,1961,94.279236
2003,41,1,92.089127,12620,1962,94.279236
2004,41,1,91.755119,12457,1963,94.279236
2005,41,1,91.648949,12221,1964,94.279236
2006,41,1,92.25473,11664,1965,94.279236
2007,41,1,91.899864,11016,1966,94.279236
2008,41,1,92.14547,10553,1967,94.279236
2009,41,1,91.043999,10343,1968,94.279236
2010,41,1,91.278877,10845,1969,94.279236
2011,41,1,90.223083,10985,1970,94.279236
2012,41,1,90.735405,10779,1971,94.279236
2013,41,1,90.978935,9621,1972,94.279236
2014,41,1,89.992386,9294,1973,94.279236
2015,41,1,90.142876,8961,1974,94.279236
2016,41,1,91.017197,9113,1975,94.279236
1976,41,2,58.25771,8311,1935,72.77066
1977,41,2,59.859161,9179,1936,72.77066
1978,41,2,63.19751,9591,1937,72.77066
1979,41,2,64.662659,9166,1938,72.77066
1980,41,2,65.881943,11157,1939,72.77066
1981,41,2,67.719643,10733,1940,72.77066
1982,41,2,68.353256,10888,1941,72.77066
1983,41,2,70.470139,10981,1942,72.77066
1984,41,2,71.206818,12099,1943,72.77066
1985,41,2,71.909729,11120,1944,72.77066
1986,41,2,73.152649,10955,1945,72.77066
1987,41,2,74.630043,11553,1946,72.77066
1988,41,2,77.371086,13542,1947,72.77066
1989,41,2,76.957169,13119,1948,72.77066
1990,41,2,77.331734,13654,1949,72.77066
1991,41,2,78.697731,13488,1950,72.77066
